Date,Open,High,Low,Close,Volume,OpenInt
1983-11-07,14.56,14.56,13.81,13.81,849600,0
1983-11-08,13.62,13.81,13.38,13.38,724600,0
1983-11-09,13.56,14.81,13.56,14.75,626000,0
1983-11-10,15.25,15.5,15.06,15.38,823400,0
1983-11-11,15.38,16.12,15.31,16.12,777600,0
1983-11-14,16.25,16.38,15.75,15.75,533200,0
1983-11-15,16,16.25,15.69,15.81,712600,0
1983-11-16,16,16,15.69,15.88,285400,0
1983-11-17,16.38,16.38,16.38,16.38,724000,0
1983-11-18,16.38,16.82,16.12,16.75,518800,0
1983-11-21,16.82,17.12,16.62,17.07,581000,0
1983-11-22,17.25,17.25,16.44,16.5,411200,0
1983-11-23,16.44,16.44,16,16.32,300000,0
1983-11-25,16.25,16.88,16.25,16.69,144400,0
1983-11-28,16.69,16.82,16.57,16.69,121600,0
1983-11-29,16.69,17.75,16.62,17.69,850000,0
1983-11-30,17.69,17.69,16.75,17,549000,0
1983-12-01,16.94,17.19,16.69,16.82,508400,0
1983-12-02,16.75,16.88,16.44,16.88,1628800,0
1983-12-05,16.82,16.82,16.44,16.69,253400,0
1983-12-06,16.62,16.82,16.32,16.82,266800,0
1983-12-07,16.62,17.25,16.5,17.19,426000,0
1983-12-08,17.12,17.38,16.5,16.57,564400,0
1983-12-09,16.57,16.75,16.12,16.38,1305000,0
1983-12-12,16.38,16.62,16.25,16.62,428200,0
1983-12-13,16.75,17,16.5,16.5,644400,0
1983-12-14,16.62,16.69,16,16.12,574400,0
1983-12-15,16.12,16.32,16,16.19,561000,0
1983-12-16,16,16.19,15.81,16,727200,0
1983-12-19,16.19,16.44,16,16.07,227800,0
1983-12-20,16.19,16.38,16.12,16.32,225600,0
1983-12-21,16.5,16.62,15.75,15.94,616200,0
1983-12-22,15.94,16.5,15.88,16.12,491000,0
1983-12-23,16.07,16.25,16.07,16.19,210000,0
1983-12-27,16.25,16.57,16.25,16.57,143800,0
1983-12-28,16.57,16.57,16.25,16.38,118800,0
1983-12-29,16.62,17.12,16.38,16.82,719600,0
1983-12-30,16.94,17.12,16.82,16.82,250400,0
1984-01-03,16.82,17.12,16.75,16.88,342200,0
1984-01-04,16.88,17.57,16.82,17.57,655000,0
1984-01-05,17.82,18.12,17.5,17.75,1706600,0
1984-01-06,17.75,18.44,17.62,18,923200,0
1984-01-09,18.5,18.75,18.19,18.38,1097200,0
1984-01-10,18.44,18.5,17.82,17.94,768400,0
1984-01-11,17.88,18,17.5,17.82,537800,0
1984-01-12,17.82,18.62,17.69,18.38,1710400,0
1984-01-13,18.75,18.75,18,18,1543200,0
1984-01-16,18.07,18.57,17.88,18,355400,0
1984-01-17,17.82,18.38,17.82,18.38,326800,0
1984-01-18,18.38,18.38,17.88,17.88,559000,0
1984-01-19,17.94,18.12,17.88,18.12,500000,0
1984-01-20,18.12,18.12,17.57,17.62,490000,0
1984-01-23,17.5,17.5,17.12,17.19,721800,0
1984-01-24,17.12,17.57,17.12,17.32,412800,0
1984-01-25,17.32,17.5,16.5,16.62,447400,0
1984-01-26,16.5,16.75,15.25,15.62,1935600,0
1984-01-27,15.38,15.38,14.5,15.06,1082200,0
1984-01-30,15.12,15.12,14,14.5,1653400,0
1984-01-31,14.62,14.69,14.12,14.38,1052600,0
1984-02-01,14.56,14.75,13.88,14.19,1261800,0
1984-02-02,14.25,14.69,13.81,14.56,1744400,0
1984-02-03,14.56,14.56,14,14.25,639000,0
1984-02-06,14,14.19,13.25,13.38,890000,0
1984-02-07,13.69,14.12,13.19,13.88,882600,0
1984-02-08,13.94,14,12.75,13,961200,0
1984-02-09,12.88,13.94,12.56,13.5,1410400,0
1984-02-10,13.62,13.75,12.81,13.19,1304400,0
1984-02-13,13.25,13.38,12.81,13.38,608200,0
1984-02-14,13.5,13.94,13.44,13.94,401000,0
1984-02-15,13.94,13.94,13.56,13.69,420400,0
1984-02-16,13.69,14.06,13.5,13.81,522400,0
1984-02-17,13.56,13.94,13.5,13.5,445400,0
1984-02-21,13.62,13.94,13.56,13.88,327200,0
1984-02-22,14,14.19,13.81,13.94,542400,0
1984-02-23,13.81,13.81,13,13.5,630400,0
1984-02-24,13.62,14.94,13.62,14.88,765600,0
1984-02-27,15,15.12,14.56,14.88,653200,0
1984-02-28,14.75,14.75,14,14.19,965600,0
1984-02-29,14.25,14.5,13.88,14.12,478800,0
1984-03-01,14.19,14.75,14.12,14.56,672800,0
1984-03-02,14.88,15.25,14.38,14.5,1162800,0
1984-03-05,14.62,14.69,14.31,14.62,150600,0
1984-03-06,14.5,14.69,13.62,13.75,459600,0
1984-03-07,13.44,13.62,13.19,13.56,1070600,0
1984-03-08,13.5,14.06,13.5,13.75,473400,0
1984-03-09,13.81,13.81,13.5,13.75,547800,0
1984-03-12,13.94,14.69,13.94,14.62,565600,0
1984-03-13,14.88,15.38,14.81,15,1346200,0
1984-03-14,14.94,15.25,14.94,14.94,835600,0
